id,projectId,projectName,subProjectLocator,bugId,buggyVersion,fixedVersion,reportId,reportUrl,defects4jBugFlag,needDeleted
1,AaltoXml,aalto-xml,,1,745ff7facfc5f984b992e9635d770991f6e37751,9f4212f37f43bd2913a934269a3dcd7d0b2ef9f4,53,https://github.com/FasterXML/aalto-xml/issues/53,0,0
2,AaltoXml,aalto-xml,,2,f5c1007442a51696b0ef05937c679422b1420540,8940d90adc7ee7efe5884228974f2a29439aa2ee,35,https://github.com/FasterXML/aalto-xml/issues/35,0,0
3,AaltoXml,aalto-xml,,3,4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e,9b43cf2766b5be1234c0d0bafb07876b773eecec,46,https://github.com/FasterXML/aalto-xml/issues/46,0,0
4,AaltoXml,aalto-xml,,4,ba4fe1e0e2272ab59a6087b5800ac75b95c25823,bb0f5e2448a43ddb29c00073669e39b420976790,47,https://github.com/FasterXML/aalto-xml/issues/47,0,0
5,AaltoXml,aalto-xml,,5,462e2f27898dd4eb597a042fb03c2e0066b99223,4f4e4b3a0e43bb233e50c9f6d0367879a49f9a5e,45,https://github.com/FasterXML/aalto-xml/issues/45,0,0
6,AaltoXml,aalto-xml,,7,381c2b5f80351c97a88610ebce32f101d550e326,f11b1fdd29a2ce1426c45726453bdd49e1a65a78,10,https://github.com/FasterXML/aalto-xml/issues/10,0,0
7,AaltoXml,aalto-xml,,8,9b43cf2766b5be1234c0d0bafb07876b773eecec,ead5f2a1710b85cb505d492601d6dafee7d03e1b,52,https://github.com/FasterXML/aalto-xml/issues/52,0,0
8,AaltoXml,aalto-xml,,9,10189114db1cc327aa3ecd82e73843fcb63a0394,0f801121285205eaefcc3c00ad243c6e680ed02b,unknown,unknown,0,0
9,Bcel,commons-bcel,,1,e103eea0addbbe3781775ac714c89473086d1ad7,8dab4e845ccbdb0a0f287c38ceafd7d15e417c06,BCEL-186,https://issues.apache.org/jira/browse/BCEL-186,0,0
10,Bcel,commons-bcel,,2,101996e7ade8d700263b6fc7504ccfcae4884ef6,c070c23750e4720fe44b92237b2b55559619e8ac,BCEL-207,https://issues.apache.org/jira/browse/BCEL-207,0,0
11,Bcel,commons-bcel,,3,d24936191391128db30ff49e298e2b31aa643d3a,5f029f691332139ea0bb0e938b90799d74806a93,BCEL-184,https://issues.apache.org/jira/browse/BCEL-184,0,0
12,Bcel,commons-bcel,,4,5865fdde89b92235cb080637810e178f21bbfc11,2f2698fa5739eba1cdc3bdf8299a754fb98ae871,BCEL-243,https://issues.apache.org/jira/browse/BCEL-243,0,0
13,Bcel,commons-bcel,,5,8df53e2ef1866726bba923d064319f050413fa49,7ceb5a6b8236517d708d7965f4873344c5630969,BCEL-277,https://issues.apache.org/jira/browse/BCEL-277,0,0
14,Bcel,commons-bcel,,6,5f5fa24f351870d57a196a2280ae7a0b668f26c7,e74df2c0e90e5e4ee92a0d45fcc6f5db5958861a,BCEL-289,https://issues.apache.org/jira/browse/BCEL-289,0,0
15,Ber_tlv,ber-tlv,,1,1c8d392cd20c29adead72078bbac8b63ffc9e88f,5f6bdef7604cd9e787da1d9ebd55d1d660ad98e3,13,https://github.com/evsinev/ber-tlv/issues/13,0,0
16,Ber_tlv,ber-tlv,,2,1c8d392cd20c29adead72078bbac8b63ffc9e88f,e3f58a4b9c3d36ff2c50b22bab6996b5bbf8f161,14,https://github.com/evsinev/ber-tlv/pull/14,0,0
17,Ber_tlv,ber-tlv,,3,b55186821a43758ddff4ebd88c0ccc7b5124b7d6,f19dd6bc41a0b12c10cf56028ba4b9db5c9e1971,1,https://github.com/evsinev/ber-tlv/issues/1,0,0
18,Ber_tlv,ber-tlv,,4,4cb2adcfb181b3140e621af74a24f1b80e72fcfc,1d887ab7bb49e617205b3ab5e509f44f96162342,10,https://github.com/evsinev/ber-tlv/issues/10,0,0
19,Burst,burst,burst,1,87689e850cb2c52af16117309959c7d24ecdc660,26475455976c2a4ba51d1c32ea9b8dacf5735d56,9,https://github.com/square/burst/pull/9,0,0
20,Burst,burst,burst,2,08629234e54b58a5477fe85f3cb7ddc115e343db,53b7015817134764f9883247a4e67776a0479737,12,https://github.com/square/burst/pull/12,0,0
